77,55,Grupo Frontera ,No Se Va,14,36,,9299430,426369,153548305
78,44,Charlie Puth ,Left and Right (Feat. Jung Kook of BTS),28,7,,9231493,132960,430418588
79,NEW,Carin Leon ,Que Vuelvas,1,79,,9217131,,9217131
80,31,Israel & Rodolffo ,Bombonzinho,8,80,,9166939,-448452,65236090
81,112,Calvin Harris ,One Kiss,103,2,4,9127109,1576867,1164837967
82,44,Kordhell ,Murder In My Mind,21,82,,9125864,135965,178396429
83,60,Lil Nas X ,STAR WALKIN' (League of Legends Worlds Anthem),15,22,,9118662,542652,167946568
84,50,Eminem ,Without Me,80,31,,9107133,286287,562175319
85,56,Taylor Swift ,Midnight Rain,11,4,,9028099,383467,218314295
86,50,Wisin & Yandel ,Besos Moja2,14,64,,9028033,213243,131677644
87,31,Rauw Alejandro ,PUNTO 40,13,48,,9024738,-295690,140623081
88,49,The Weeknd ,Call Out My Name,63,1,1,9009578,203513,592834391
89,93,Nicky Youre ,Sunroof,35,28,,9005631,1277130,374001927
90,50,The Weeknd ,Save Your Tears,109,2,4,9002421,296182,1218103386
91,RE,Kate Bush ,Running Up That Hill (A Deal With God),31,1,3,8939612,,731956972
92,46,Billie Eilish ,lovely,246,24,,8925854,120391,2019878034
93,67,ThxSoMch ,SPIT IN MY FACE!,8,93,,8923555,922963,64245154
94,50,Coldplay ,Yellow,107,56,,8895298,331057,729508355
95,NEW,NewJeans ,OMG,1,95,,8878049,,8878049
96,51,Drake ,Jimmy Cooks,29,7,,8874884,471051,379477943
97,73,Harry Styles ,Watermelon Sugar,164,4,,8829210,982096,2031180161
98,53,Coldplay ,Viva La Vida,23,98,,8736650,554862,152074361
99,30,Gustavo Mioto ,Eu Gosto Assim,13,99,,8655205,-315642,101638826
100,39,KAROL G ,CAIRO,7,75,,8629106,-163857,66624191
101,45,Imagine Dragons ,Enemy,48,3,4,8613900,128203,670518870
102,61,Post Malone ,I Like You (A Happier Song),31,10,,8602685,700216,397407521
103,32,Bellakath ,Gatita,6,94,,8599194,-217667,54859633
104,41,J Balvin ,LA CANCIÓN,98,17,,8582787,61499,855920740
105,RE,The Weeknd ,Save Your Tears (Remix),39,43,,8571273,,298157943
106,NEW,Tory Lanez ,The Color Violet,1,106,,8552377,,8552377
107,RE,Macklemore & Ryan Lewis ,Can't Hold Us,34,107,,8503969,,207922247
108,53,Central Cee ,Doja,24,15,,8497499,527323,300551622
109,47,Rihanna ,Lift Me Up,10,11,,8496505,393446,137835031
110,73,Zach Bryan ,Something in the Orange,17,57,,8492618,764813,145466993
111,84,Ed Sheeran ,Shivers,69,4,,8492250,999953,1068101389
112,42,Ed Sheeran ,Perfect,303,4,,8488443,362264,2236774740
113,83,NewJeans ,Hype Boy,14,85,,8388598,941339,103245499
114,7,SZA ,Blind,4,24,,8362150,-826822,50414801
115,RE,Nicki Minaj ,Super Freaky Girl,20,14,,8355888,,289697974
116,72,J. Cole ,No Role Modelz,159,64,,8311194,662773,708516083
117,33,Eminem ,Superman,14,116,,8306800,20589,107780812
118,39,Imagine Dragons ,Believer,309,16,,8219275,166471,2315650389
119,45,Sia ,Unstoppable,49,107,,8203780,303288,326844158
120,RE,Coolio ,Gangsta's Paradise,58,40,,8199960,,374358225
121,46,INTERWORLD ,METAMORPHOSIS,3,121,,8195114,317758,23774071
122,68,Adele ,Easy On Me,64,1,7,8189337,563421,1142562547
123,32,Joji ,Die For You,9,21,,8126700,18689,109329567
124,51,Steve Lacy ,Dark Red,74,66,,8115991,338877,575220960
125,55,Cris Mj ,Marisola,2,125,,8113137,372903,15853371
126,48,Justin Bieber ,Ghost,68,11,,8061687,267076,842838369
127,RE,James Hype ,Ferrari,27,34,,8047573,,259706669
128,50,Cigarettes After Sex ,Apocalypse,26,89,,8046734,291882,199293445
129,RE,Ed Sheeran ,Bad Habits,76,3,4,8010790,,1331437601
130,42,Beach Weather ,"Sex, Drugs, Etc.",21,58,,8003592,169582,185482312
131,RE,Farruko ,Pepas,70,4,,7999713,,1093539197
132,49,Eminem ,The Real Slim Shady,83,51,,7964666,227630,551119089
133,RE,Beach House ,Space Song,14,133,,7950073,,86975889
134,RE,Doja Cat ,Kiss Me More,80,3,4,7928475,,1319804269
135,23,Conan Gray ,Heather,128,12,,7886336,-156565,1024610168
136,63,Lil Nas X ,INDUSTRY BABY,76,2,8,7842699,413181,1596350085
137,49,BLACKPINK ,Pink Venom,20,2,1,7809891,133812,334979053
138,RE,Lewis Capaldi ,Someone You Loved,208,4,,7776859,,2527432606
139,RE,One Direction ,Night Changes,59,25,,7764082,,286242364
140,RE,Lost Frequencies ,Where Are You Now,67,18,,7762479,,744138481
141,53,Bruno Mars ,When I Was Your Man,64,125,,7758268,240841,187178073
142,NEW,Arijit Singh ,"Apna Bana Le (From ""Bhediya"")",1,142,,7754469,,7754469
